0.000000,39.479000
56.359000,138.280000
140.639000,194.639000
195.766667,249.919000
252.960000,278.000000
281.600000,332.639000
334.800000,388.319000
391.199000,574.799000
578.240000,709.039000
716.960000,796.000000
798.799000,990.720000
996.399000,1126.000000
1130.319000,1230.079000
1233.599000,1308.559000
1312.400000,1332.799000
1337.440000,1471.759000
1476.559000,1752.240000
1757.039000,1781.920000
1784.319000,1895.359000
1897.680000,2088.719000
2093.679000,2373.840000
2376.000000,2428.880000
2432.480000,2514.000000
2516.480000,2570.639000
2572.616667,2627.679000
2629.760000,2656.639000
2659.599000,2788.320000
2796.960000,2928.000000
2930.719000,2981.519000
2985.666667,2991.239000
